;Vector File math.dat

radix 1 1 1 1 1 1 44 44
vname clk pre clr ld_sh b_in add_sub ap[8:1] bp[8:1]
io    i i i i i i ii ii
tunit us
slope 0.001
vih   5.0 
vil   0.0 
tdelay 0.1 	

0 0 11 0 0 0 AA 55
5 1 11 0 0 0 AA 55
10 0 11 1 0 0 00 00
15 1 11 1 0 0 00 00
20 0 11 1 0 0 00 00
25 1 11 1 0 0 00 00
30 0 11 0 0 0 FF 55
35 1 11 0 0 0 FF 55
40 0 11 1 0 0 00 00
45 1 11 1 0 0 00 00
50 0 11 1 0 0 00 00
55 1 11 1 0 0 00 00
60 0 11 1 0 1 00 00
65 1 11 1 0 1 00 00
70 0 11 1 0 1 00 00
75 1 11 1 0 1 00 00
80 0 11 1 0 1 00 00

